surface	wikidata_id	document_id	entity_fine_type
Agamemnon	http://www.wikidata.org/entity/Q3320792	cu31924087948174_0039, lestragdiesdeso00tourgoog_0075, lestragdiesdeso00tourgoog_0105, lestragdiesdeso00tourgoog_0107, lestragdiesdeso00tourgoog_0111, lestragdiesdeso00tourgoog_0128, lestragdiesdeso00tourgoog_0130, lestragdiesdeso00tourgoog_0137, lestragdiesdeso00tourgoog_0138	work.primlit
Ages.	http://www.wikidata.org/entity/Q3606509	lestragdiesdeso00tourgoog_0133	work.primlit
Ai.	http://www.wikidata.org/entity/Q412341	sophokle1v3soph_0017, sophokle1v3soph_0200	work.primlit
Aias	http://www.wikidata.org/entity/Q172725	Wecklein1894_0006, Wecklein1894_0007, Wecklein1894_0008, Wecklein1894_0016, Wecklein1894_0017, Wecklein1894_0021, Wecklein1894_0023, Wecklein1894_0024, Wecklein1894_0029, Wecklein1894_0030, Wecklein1894_0035, Wecklein1894_0036, Wecklein1894_0037, Wecklein1894_0038, Wecklein1894_0039, Wecklein1894_0040, Wecklein1894_0041, Wecklein1894_0042, Wecklein1894_0043, Wecklein1894_0044, Wecklein1894_0046, Wecklein1894_0050, Wecklein1894_0051, Wecklein1894_0053, Wecklein1894_0054, Wecklein1894_0055, Wecklein1894_0056, Wecklein1894_0058, Wecklein1894_0060, Wecklein1894_0061, Wecklein1894_0062, Wecklein1894_0063, Wecklein1894_0065, Wecklein1894_0080, Wecklein1894_0082, sophokle1v3soph_0017, sophokle1v3soph_0049, sophokle1v3soph_0051, sophokle1v3soph_0052, sophokle1v3soph_0055, sophokle1v3soph_0057, sophokle1v3soph_0062, sophokle1v3soph_0063, sophokle1v3soph_0064, sophokle1v3soph_0065, sophokle1v3soph_0066, sophokle1v3soph_0067, sophokle1v3soph_0068, sophokle1v3soph_0072, sophokle1v3soph_0073, sophokle1v3soph_0074, sophokle1v3soph_0075, sophokle1v3soph_0077, sophokle1v3soph_0078, sophokle1v3soph_0079, sophokle1v3soph_0080, sophokle1v3soph_0082, sophokle1v3soph_0083, sophokle1v3soph_0085, sophokle1v3soph_0086, sophokle1v3soph_0089, sophokle1v3soph_0091, sophokle1v3soph_0092, sophokle1v3soph_0093, sophokle1v3soph_0108, sophokle1v3soph_0109, sophokle1v3soph_0110, sophokle1v3soph_0116, sophokle1v3soph_0117, sophokle1v3soph_0118, sophokle1v3soph_0120, sophokle1v3soph_0138, sophokle1v3soph_0140, sophokle1v3soph_0143	pers.myth, pers.author
Aias	http://www.wikidata.org/entity/Q242319	sophokle1v3soph_0049	pers.myth
Aias	http://www.wikidata.org/entity/Q412341	Wecklein1894_0015, Wecklein1894_0052, sophokle1v3soph_0017, sophokle1v3soph_0057	pers.myth, work.primlit
Aiax	http://www.wikidata.org/entity/Q172725	Wecklein1894_0049	pers.myth
Aj.	http://www.wikidata.org/entity/Q412341	cu31924087948174_0012	work.primlit
Ajax	http://www.wikidata.org/entity/Q172725	cu31924087948174_0035, cu31924087948174_0036, cu31924087948174_0037, cu31924087948174_0038, cu31924087948174_0039, cu31924087948174_0040, cu31924087948174_0044, cu31924087948174_0046, cu31924087948174_0048, cu31924087948174_0049, cu31924087948174_0051, cu31924087948174_0052, cu31924087948174_0053, cu31924087948174_0054, cu31924087948174_0056, cu31924087948174_0057, cu31924087948174_0058, cu31924087948174_0059, cu31924087948174_0060, cu31924087948174_0061, cu31924087948174_0062, cu31924087948174_0064, cu31924087948174_0065, cu31924087948174_0066, cu31924087948174_0067, cu31924087948174_0070, cu31924087948174_0071, cu31924087948174_0073, cu31924087948174_0074, cu31924087948174_0075, cu31924087948174_0076, cu31924087948174_0077, cu31924087948174_0078, cu31924087948174_0079, cu31924087948174_0080, cu31924087948174_0081, cu31924087948174_0083, cu31924087948174_0084, cu31924087948174_0085, cu31924087948174_0086, cu31924087948174_0088, cu31924087948174_0096, cu31924087948174_0100, cu31924087948174_0108, cu31924087948174_0116, cu31924087948174_0117, cu31924087948174_0118, cu31924087948174_0119, sophoclesplaysa05campgoog_0014, sophoclesplaysa05campgoog_0050, sophoclesplaysa05campgoog_0097, sophoclesplaysa05campgoog_0099, sophoclesplaysa05campgoog_0100, sophoclesplaysa05campgoog_0101, sophoclesplaysa05campgoog_0102, sophoclesplaysa05campgoog_0103, sophoclesplaysa05campgoog_0104, sophoclesplaysa05campgoog_0106, sophoclesplaysa05campgoog_0107, sophoclesplaysa05campgoog_0108, sophoclesplaysa05campgoog_0146, sophoclesplaysa05campgoog_0147, sophoclesplaysa05campgoog_0168, sophoclesplaysa05campgoog_0291, lestragdiesdeso00tourgoog_0055, lestragdiesdeso00tourgoog_0059, lestragdiesdeso00tourgoog_0060, lestragdiesdeso00tourgoog_0062, lestragdiesdeso00tourgoog_0063, lestragdiesdeso00tourgoog_0064, lestragdiesdeso00tourgoog_0066, lestragdiesdeso00tourgoog_0068, lestragdiesdeso00tourgoog_0069, lestragdiesdeso00tourgoog_0070, lestragdiesdeso00tourgoog_0074, lestragdiesdeso00tourgoog_0075, lestragdiesdeso00tourgoog_0076, lestragdiesdeso00tourgoog_0082, lestragdiesdeso00tourgoog_0083, lestragdiesdeso00tourgoog_0084, lestragdiesdeso00tourgoog_0085, lestragdiesdeso00tourgoog_0086, lestragdiesdeso00tourgoog_0087, lestragdiesdeso00tourgoog_0094, lestragdiesdeso00tourgoog_0096, lestragdiesdeso00tourgoog_0098, lestragdiesdeso00tourgoog_0099, lestragdiesdeso00tourgoog_0100, lestragdiesdeso00tourgoog_0107, lestragdiesdeso00tourgoog_0111, lestragdiesdeso00tourgoog_0115, lestragdiesdeso00tourgoog_0116, lestragdiesdeso00tourgoog_0117, lestragdiesdeso00tourgoog_0121, lestragdiesdeso00tourgoog_0126, lestragdiesdeso00tourgoog_0137, lestragdiesdeso00tourgoog_0139, lestragdiesdeso00tourgoog_0142, lestragdiesdeso00tourgoog_0147, lestragdiesdeso00tourgoog_0150	pers.myth, pers.author
Ajax	http://www.wikidata.org/entity/Q412341	cu31924087948174_0010, cu31924087948174_0011, cu31924087948174_0036, cu31924087948174_0037, cu31924087948174_0038, cu31924087948174_0039, cu31924087948174_0040, cu31924087948174_0041, sophoclesplaysa05campgoog_0014, lestragdiesdeso00tourgoog_0061, lestragdiesdeso00tourgoog_0076, lestragdiesdeso00tourgoog_0104, lestragdiesdeso00tourgoog_0122	work.primlit
Ajax le Locrien	http://www.wikidata.org/entity/Q242319	lestragdiesdeso00tourgoog_0066	pers.myth
Akropolis	http://www.wikidata.org/entity/Q131013	Wecklein1894_0096	loc
Alberti	http://www.wikidata.org/entity/Q2014223	sophoclesplaysa05campgoog_0288	pers.editor
Alc.	http://www.wikidata.org/entity/Q298850	cu31924087948174_0056	pers.author
Alc.	http://www.wikidata.org/entity/Q1246408	sophokle1v3soph_0069, cu31924087948174_0058, cu31924087948174_0062, cu31924087948174_0096, sophoclesplaysa05campgoog_0105, lestragdiesdeso00tourgoog_0115, lestragdiesdeso00tourgoog_0145	work.primlit
Alc.	http://www.wikidata.org/entity/Q212872	cu31924087948174_0057	pers.author
Alceste	http://www.wikidata.org/entity/Q1246408	lestragdiesdeso00tourgoog_0061, lestragdiesdeso00tourgoog_0068, lestragdiesdeso00tourgoog_0077, lestragdiesdeso00tourgoog_0094	work.primlit
Alcibiade second	http://www.wikidata.org/entity/Q1788674	lestragdiesdeso00tourgoog_0137	work.primlit
Alcäus	http://www.wikidata.org/entity/Q3608942	sophokle1v3soph_0122	pers.author
Alcée	http://www.wikidata.org/entity/Q212872	lestragdiesdeso00tourgoog_0069	pers.author
Aldus	http://www.wikidata.org/entity/Q213220	cu31924087948174_0014	pers.author, pers.editor
Alk.	http://www.wikidata.org/entity/Q1246408	Wecklein1894_0027, Wecklein1894_0035	work.primlit
Alkathoos von Megara	http://www.wikidata.org/entity/Q1417968	Wecklein1894_0054	pers.myth
Alkäos	http://www.wikidata.org/entity/Q212872	Wecklein1894_0026	pers.author
Allemagne	http://www.wikidata.org/entity/Q183	lestragdiesdeso00tourgoog_0023	loc
Ami.	http://www.wikidata.org/entity/Q241077	sophoclesplaysa05campgoog_0105	work.primlit
Amphitryon	http://www.wikidata.org/entity/Q206214	sophokle1v3soph_0089	pers.myth
An- tigone	http://www.wikidata.org/entity/Q241077	lestragdiesdeso00tourgoog_0107, lestragdiesdeso00tourgoog_0125	work.primlit
Anab.	http://www.wikidata.org/entity/Q1236228	Wecklein1894_0015	work.primlit
Anabase	http://www.wikidata.org/entity/Q73112	lestragdiesdeso00tourgoog_0080, lestragdiesdeso00tourgoog_0109	work.primlit
Anaxi- menes	http://www.wikidata.org/entity/Q221787	sophoclesplaysa05campgoog_0101	pers.author
Andocide	http://www.wikidata.org/entity/Q391654	lestragdiesdeso00tourgoog_0064	pers.author
Andr.	http://www.wikidata.org/entity/Q1233645	sophokle1v3soph_0122	work.primlit
Andr.	http://www.wikidata.org/entity/Q512802	sophokle1v3soph_0143, cu31924087948174_0108, sophoclesplaysa05campgoog_0106, lestragdiesdeso00tourgoog_0096, lestragdiesdeso00tourgoog_0126	work.primlit
Androm.	http://www.wikidata.org/entity/Q512802	sophokle1v3soph_0086, cu31924087948174_0150, lestragdiesdeso00tourgoog_0090, lestragdiesdeso00tourgoog_0138	work.primlit
Andromache	http://www.wikidata.org/entity/Q19376	sophokle1v3soph_0069, sophokle1v3soph_0082, sophokle1v3soph_0089, cu31924087948174_0083, sophoclesplaysa05campgoog_0168	pers.myth
Andromaque	http://www.wikidata.org/entity/Q512802	lestragdiesdeso00tourgoog_0066	work.primlit
Ant.	http://www.wikidata.org/entity/Q241077	Wecklein1894_0018, Wecklein1894_0020, Wecklein1894_0021, Wecklein1894_0022, Wecklein1894_0023, Wecklein1894_0025, Wecklein1894_0030, Wecklein1894_0033, Wecklein1894_0037, Wecklein1894_0040, Wecklein1894_0045, Wecklein1894_0048, Wecklein1894_0049, Wecklein1894_0055, Wecklein1894_0060, Wecklein1894_0064, Wecklein1894_0065, Wecklein1894_0080, Wecklein1894_0087, sophokle1v3soph_0049, sophokle1v3soph_0051, sophokle1v3soph_0052, sophokle1v3soph_0054, sophokle1v3soph_0055, sophokle1v3soph_0057, sophokle1v3soph_0063, sophokle1v3soph_0066, sophokle1v3soph_0067, sophokle1v3soph_0068, sophokle1v3soph_0073, sophokle1v3soph_0075, sophokle1v3soph_0077, sophokle1v3soph_0080, sophokle1v3soph_0082, sophokle1v3soph_0083, sophokle1v3soph_0089, sophokle1v3soph_0091, sophokle1v3soph_0092, sophokle1v3soph_0093, sophokle1v3soph_0108, sophokle1v3soph_0110, sophokle1v3soph_0114, sophokle1v3soph_0116, sophokle1v3soph_0117, sophokle1v3soph_0121, sophokle1v3soph_0122, sophokle1v3soph_0123, sophokle1v3soph_0125, sophokle1v3soph_0138, cu31924087948174_0012, cu31924087948174_0045, cu31924087948174_0047, cu31924087948174_0049, cu31924087948174_0054, cu31924087948174_0059, cu31924087948174_0061, cu31924087948174_0063, cu31924087948174_0064, cu31924087948174_0065, cu31924087948174_0074, cu31924087948174_0076, cu31924087948174_0081, cu31924087948174_0082, cu31924087948174_0096, cu31924087948174_0100, sophoclesplaysa05campgoog_0097, sophoclesplaysa05campgoog_0098, sophoclesplaysa05campgoog_0099, sophoclesplaysa05campgoog_0100, sophoclesplaysa05campgoog_0105, sophoclesplaysa05campgoog_0106, sophoclesplaysa05campgoog_0107, sophoclesplaysa05campgoog_0108, sophoclesplaysa05campgoog_0146, sophoclesplaysa05campgoog_0147, sophoclesplaysa05campgoog_0168, sophoclesplaysa05campgoog_0288, sophoclesplaysa05campgoog_0291, lestragdiesdeso00tourgoog_0144	work.primlit
Ant.	http://www.wikidata.org/entity/Q3618696	sophokle1v3soph_0079, sophoclesplaysa05campgoog_0104	work.primlit
Ant. and Cleo.	http://www.wikidata.org/entity/Q606830	cu31924087948174_0060, cu31924087948174_0073, cu31924087948174_0118	work.primlit
Anti- gone	http://www.wikidata.org/entity/Q241077	lestragdiesdeso00tourgoog_0121	work.primlit
Anti.	http://www.wikidata.org/entity/Q241077	lestragdiesdeso00tourgoog_0057	work.primlit
Antig.	http://www.wikidata.org/entity/Q3618696	lestragdiesdeso00tourgoog_0077	work.primlit
Antig.	http://www.wikidata.org/entity/Q241077	lestragdiesdeso00tourgoog_0057, lestragdiesdeso00tourgoog_0061, lestragdiesdeso00tourgoog_0063, lestragdiesdeso00tourgoog_0070, lestragdiesdeso00tourgoog_0076, lestragdiesdeso00tourgoog_0077, lestragdiesdeso00tourgoog_0080, lestragdiesdeso00tourgoog_0085, lestragdiesdeso00tourgoog_0086, lestragdiesdeso00tourgoog_0088, lestragdiesdeso00tourgoog_0090, lestragdiesdeso00tourgoog_0091, lestragdiesdeso00tourgoog_0094, lestragdiesdeso00tourgoog_0095, lestragdiesdeso00tourgoog_0100, lestragdiesdeso00tourgoog_0101, lestragdiesdeso00tourgoog_0104, lestragdiesdeso00tourgoog_0109, lestragdiesdeso00tourgoog_0111, lestragdiesdeso00tourgoog_0112, lestragdiesdeso00tourgoog_0115, lestragdiesdeso00tourgoog_0122, lestragdiesdeso00tourgoog_0124, lestragdiesdeso00tourgoog_0140	work.primlit
Antigone	http://www.wikidata.org/entity/Q241077	cu31924087948174_0038, cu31924087948174_0039, cu31924087948174_0040, cu31924087948174_0041, sophoclesplaysa05campgoog_0146, lestragdiesdeso00tourgoog_0055, lestragdiesdeso00tourgoog_0059, lestragdiesdeso00tourgoog_0062, lestragdiesdeso00tourgoog_0075, lestragdiesdeso00tourgoog_0099, lestragdiesdeso00tourgoog_0119, lestragdiesdeso00tourgoog_0120, lestragdiesdeso00tourgoog_0126, lestragdiesdeso00tourgoog_0136, lestragdiesdeso00tourgoog_0137, lestragdiesdeso00tourgoog_0138, lestragdiesdeso00tourgoog_0139, lestragdiesdeso00tourgoog_0153	work.primlit
Antigone	http://www.wikidata.org/entity/Q575455	cu31924087948174_0039	pers.myth
Antikleia	http://www.wikidata.org/entity/Q576170	sophokle1v3soph_0062	pers.myth
Antonius Francinus	http://www.wikidata.org/entity/Q16527540	cu31924087948174_0014	pers.editor
Aphrodite	http://www.wikidata.org/entity/Q35500	sophoclesplaysa05campgoog_0097	pers.myth
Apol- lon	http://www.wikidata.org/entity/Q37340	sophokle1v3soph_0062	pers.myth
Apol.	http://www.wikidata.org/entity/Q105984077	lestragdiesdeso00tourgoog_0068	work.primlit
Apol.	http://www.wikidata.org/entity/Q273668	Wecklein1894_0019	work.primlit
Apoll. Rhod.	http://www.wikidata.org/entity/Q192638	sophoclesplaysa05campgoog_0099	pers.author
Apollod.	http://www.wikidata.org/entity/Q76807990	Wecklein1894_0046	pers.author
Apollodore	http://www.wikidata.org/entity/Q12506564	lestragdiesdeso00tourgoog_0147	pers.author
Apollon	http://www.wikidata.org/entity/Q37340	Wecklein1894_0063	pers.myth
Apollon. Rhod.	http://www.wikidata.org/entity/Q192638	cu31924087948174_0016	pers.author
Apollonius	http://www.wikidata.org/entity/Q192638	cu31924087948174_0016	pers.author
Apollonius de Rhodes	http://www.wikidata.org/entity/Q192638	lestragdiesdeso00tourgoog_0107	work.primlit
Appian	http://www.wikidata.org/entity/Q190368	sophoclesplaysa05campgoog_0100	pers.author
Ar.	http://www.wikidata.org/entity/Q43353	sophoclesplaysa05campgoog_0100, sophoclesplaysa05campgoog_0103, sophoclesplaysa05campgoog_0105, sophoclesplaysa05campgoog_0147, sophoclesplaysa05campgoog_0291	pers.author
Ar.	https://www.wikidata.org/wiki/Q43353	sophoclesplaysa05campgoog_0098	pers.author
Archil.	http://www.wikidata.org/entity/Q201323	cu31924087948174_0096, cu31924087948174_0119	pers.author
Archiloch.	http://www.wikidata.org/entity/Q201323	Wecklein1894_0060	pers.author
Archilochus	http://www.wikidata.org/entity/Q201323	sophokle1v3soph_0093	pers.author
Arctinus	http://www.wikidata.org/entity/Q554683	cu31924087948174_0034, cu31924087948174_0035	pers.author
Ares	http://www.wikidata.org/entity/Q40901	Wecklein1894_0065	pers.myth
Argos	http://www.wikidata.org/entity/Q13533353	sophoclesplaysa05campgoog_0098, lestragdiesdeso00tourgoog_0147	loc
Ari- stote	http://www.wikidata.org/entity/Q868	lestragdiesdeso00tourgoog_0067	pers.author
Ariadne	http://www.wikidata.org/entity/Q184874	Wecklein1894_0065, cu31924087948174_0100	pers.myth
Arist.	http://www.wikidata.org/entity/Q43353	sophokle1v3soph_0093	pers.author
Arist.	http://www.wikidata.org/entity/Q868	sophoclesplaysa05campgoog_0098, sophoclesplaysa05campgoog_0101	pers.author
Aristide	http://www.wikidata.org/entity/Q354431	lestragdiesdeso00tourgoog_0134, lestragdiesdeso00tourgoog_0151	pers.author
Aristodème	http://www.wikidata.org/entity/Q666525	lestragdiesdeso00tourgoog_0147	pers.myth
Aristoph	http://www.wikidata.org/entity/Q43353	cu31924087948174_0051	pers.author
Aristoph.	http://www.wikidata.org/entity/Q43353	lestragdiesdeso00tourgoog_0092	pers.author
Aristophane	http://www.wikidata.org/entity/Q43353	lestragdiesdeso00tourgoog_0067, lestragdiesdeso00tourgoog_0068, lestragdiesdeso00tourgoog_0099, lestragdiesdeso00tourgoog_0111, lestragdiesdeso00tourgoog_0136, lestragdiesdeso00tourgoog_0138	pers.author
Aristote	http://www.wikidata.org/entity/Q868	lestragdiesdeso00tourgoog_0106, lestragdiesdeso00tourgoog_0113	pers.author
Aristotle	http://www.wikidata.org/entity/Q868	sophoclesplaysa05campgoog_0014	pers.author
Ariſtoph.	http://www.wikidata.org/entity/Q43353	Wecklein1894_0029	pers.author
Ariſtot.	http://www.wikidata.org/entity/Q868	Wecklein1894_0062	pers.author
Arkadien	http://www.wikidata.org/entity/Q170054	sophokle1v3soph_0062	loc
Arktinos von Milet	http://www.wikidata.org/entity/Q554683	Wecklein1894_0007	pers.author
Arm. ind.	http://www.wikidata.org/entity/Q3623430	Wecklein1894_0096	work.primlit
Arrian	http://www.wikidata.org/entity/Q31845	Wecklein1894_0015	pers.author
Artemis	http://www.wikidata.org/entity/Q39503	Wecklein1894_0027, cu31924087948174_0057, cu31924087948174_0058, sophoclesplaysa05campgoog_0097	pers.myth
Artémis	http://www.wikidata.org/entity/Q39503	lestragdiesdeso00tourgoog_0070	pers.myth
Artémis Tauropole	http://www.wikidata.org/entity/Q39503	lestragdiesdeso00tourgoog_0069	pers.myth
Arès	http://www.wikidata.org/entity/Q40901	lestragdiesdeso00tourgoog_0070	pers.myth
Asch.	http://www.wikidata.org/entity/Q40939	Wecklein1894_0087	pers.author
Astydamas	http://www.wikidata.org/entity/Q11907040	cu31924087948174_0040	pers.author
Athen	http://www.wikidata.org/entity/Q1524	sophokle1v3soph_0108, sophokle1v3soph_0120	loc
Athen.	http://www.wikidata.org/entity/Q294923	lestragdiesdeso00tourgoog_0117	pers.author
Athena	http://www.wikidata.org/entity/Q37122	Wecklein1894_0006, Wecklein1894_0015, Wecklein1894_0016, Wecklein1894_0018, Wecklein1894_0019, Wecklein1894_0020, Wecklein1894_0023, Wecklein1894_0025, cu31924087948174_0035, cu31924087948174_0036, cu31924087948174_0037, cu31924087948174_0038, cu31924087948174_0039, cu31924087948174_0044, cu31924087948174_0047, cu31924087948174_0049, cu31924087948174_0051, cu31924087948174_0053, cu31924087948174_0056, cu31924087948174_0080, cu31924087948174_0150, sophoclesplaysa05campgoog_0097, sophoclesplaysa05campgoog_0103, sophoclesplaysa05campgoog_0106	pers.myth
Athena Promachos	http://www.wikidata.org/entity/Q37122	Wecklein1894_0096	pers.myth
Athenaeus	http://www.wikidata.org/entity/Q294923	cu31924087948174_0016	pers.author
Athenaeus	http://www.wikidata.org/entity/Q4813399	sophoclesplaysa05campgoog_0288	pers.author
Athenatempel	http://www.wikidata.org/entity/Q24204542	Wecklein1894_0096	loc
Athene	http://www.wikidata.org/entity/Q37122	sophokle1v3soph_0049, sophokle1v3soph_0052, sophokle1v3soph_0066, sophokle1v3soph_0077, sophokle1v3soph_0080	pers.myth
Athens	http://www.wikidata.org/entity/Q1524	cu31924087948174_0038, cu31924087948174_0100	loc
Athènes	http://www.wikidata.org/entity/Q1524	lestragdiesdeso00tourgoog_0070, lestragdiesdeso00tourgoog_0081, lestragdiesdeso00tourgoog_0091	loc
Athéna	http://www.wikidata.org/entity/Q37122	lestragdiesdeso00tourgoog_0074, lestragdiesdeso00tourgoog_0112	pers.myth
Atreus	http://www.wikidata.org/entity/Q192469	cu31924087948174_0145	pers.myth
Attika	http://www.wikidata.org/entity/Q758056	Wecklein1894_0027	loc
Attika	http://www.wikidata.org/entity/Q122443	sophokle1v3soph_0057	loc
Attique	http://www.wikidata.org/entity/Q122443	lestragdiesdeso00tourgoog_0069	loc
Attius	http://www.wikidata.org/entity/Q311287	lestragdiesdeso00tourgoog_0097	pers.myth
Au- tolykos	http://www.wikidata.org/entity/Q463107	sophokle1v3soph_0062	pers.myth
Aſch.	http://www.wikidata.org/entity/Q40939	Wecklein1894_0046, Wecklein1894_0057, Wecklein1894_0082	pers.author
Bacch.	http://www.wikidata.org/entity/Q934597	sophokle1v3soph_0078	work.primlit
Baccy.	http://www.wikidata.org/entity/Q934597	sophoclesplaysa05campgoog_0101	work.primlit
Backch.	http://www.wikidata.org/entity/Q934597	Wecklein1894_0056	work.primlit
Bakch.	http://www.wikidata.org/entity/Q934597	Wecklein1894_0026	work.primlit
Bekk.	http://www.wikidata.org/entity/Q77606	Wecklein1894_0058	pers.author
