entity_surface	gold_transcript	levenshtein_norm	document_id	entity_fine_type	wikidata_id
Lobe>	Lobeck	0.3333333333333333	Wecklein1894_0058	pers.other	http://www.wikidata.org/entity/Q84734
Od. T.	Öd.	0.6666666666666666	Wecklein1894_0059	work.primlit	http://www.wikidata.org/entity/Q148643
Od. T.	Öd.	0.6666666666666666	Wecklein1894_0059	work.primlit	http://www.wikidata.org/entity/Q148643
Aſch.	Äſch.	0.2	Wecklein1894_0062	pers.author	http://www.wikidata.org/entity/Q40939
Aſch.	Äſch.	0.2	Wecklein1894_0062	pers.author	http://www.wikidata.org/entity/Q40939
Aſch.	Äſch.	0.2	Wecklein1894_0064	pers.author	http://www.wikidata.org/entity/Q40939
Aſch.	Äſch.	0.2	Wecklein1894_0065	pers.author	http://www.wikidata.org/entity/Q40939
Aſch.	Äſch.	0.2	Wecklein1894_0065	pers.author	http://www.wikidata.org/entity/Q40939
Hef.	Hek.	0.25	Wecklein1894_0075	work.primlit	http://www.wikidata.org/entity/Q61678318
Lobe>	Lobeck	0.3333333333333333	Wecklein1894_0075	pers.editor	http://www.wikidata.org/entity/Q84734
Od. K.	Öd. K.	0.16666666666666666	Wecklein1894_0080	work.primlit	http://www.wikidata.org/entity/Q294001
Aſh.	Asch.	0.4	Wecklein1894_0087	pers.author	http://www.wikidata.org/entity/Q40939
Aſch.	Äſch.	0.2	Wecklein1894_0102	pers.author	http://www.wikidata.org/entity/Q40939
II.	Il.	0.3333333333333333	sophokle1v3soph_0015	work.primlit	http://www.wikidata.org/entity/Q8275
II.	Il.	0.3333333333333333	sophokle1v3soph_0015	work.primlit	http://www.wikidata.org/entity/Q8275
11.	Il.	0.6666666666666666	sophokle1v3soph_0015	work.primlit	http://www.wikidata.org/entity/Q8275
Ai,	Ai.	0.3333333333333333	sophokle1v3soph_0015	work.primlit	http://www.wikidata.org/entity/Q412341
11.	Il.	0.6666666666666666	sophokle1v3soph_0049	work.primlit	http://www.wikidata.org/entity/Q8275
Oileus	Il.	0.8333333333333334	sophokle1v3soph_0049	pers.myth	http://www.wikidata.org/entity/Q975447
11.	Il.	0.6666666666666666	sophokle1v3soph_0049	work.primlit	http://www.wikidata.org/entity/Q8275
O. ΒΕ.	O. R.	0.3333333333333333	sophokle1v3soph_0052	work.primlit	http://www.wikidata.org/entity/Q148643
0. R.	O. R.	0.2	sophokle1v3soph_0052	work.primlit	http://www.wikidata.org/entity/Q148643
0. ἢ.	O. R.	0.4	sophokle1v3soph_0054	work.primlit	http://www.wikidata.org/entity/Q148643
Ὁ. C.	O. C.	0.2	sophokle1v3soph_0055	work.primlit	http://www.wikidata.org/entity/Q294001
1.	Il.	0.6666666666666666	sophokle1v3soph_0055	work.primlit	http://www.wikidata.org/entity/Q8275
0. R.	O. R.	0.2	sophokle1v3soph_0055	work.primlit	http://www.wikidata.org/entity/Q148643
0. C.	O. C.	0.2	sophokle1v3soph_0055	work.primlit	http://www.wikidata.org/entity/Q294001
O0. R.	O. R.	0.16666666666666666	sophokle1v3soph_0057	work.primlit	http://www.wikidata.org/entity/Q148643
ΕἸ.	El.	0.6666666666666666	sophokle1v3soph_0057	work.primlit	http://www.wikidata.org/entity/Q733444
0. R.	O. R.	0.2	sophokle1v3soph_0062	work.primlit	http://www.wikidata.org/entity/Q148643
ll.	Il.	0.3333333333333333	sophokle1v3soph_0062	work.primlit	http://www.wikidata.org/entity/Q8275
ll.	Il.	0.3333333333333333	sophokle1v3soph_0062	work.primlit	http://www.wikidata.org/entity/Q8275
N.	Il.	0.6666666666666666	sophokle1v3soph_0063	work.primlit	http://www.wikidata.org/entity/Q8275
Ο. Β.	O. R.	0.4	sophokle1v3soph_0063	work.primlit	http://www.wikidata.org/entity/Q148643
0. C.	O. C.	0.2	sophokle1v3soph_0063	work.primlit	http://www.wikidata.org/entity/Q294001
0. R.	O. R.	0.2	sophokle1v3soph_0063	work.primlit	http://www.wikidata.org/entity/Q148643
ll.	Il.	0.3333333333333333	sophokle1v3soph_0063	work.primlit	http://www.wikidata.org/entity/Q8275
0. C.	O. C.	0.2	sophokle1v3soph_0064	work.primlit	http://www.wikidata.org/entity/Q294001
Ὁ. R.	O. R.	0.2	sophokle1v3soph_0066	work.primlit	http://www.wikidata.org/entity/Q148643
0. R.	O. R.	0.2	sophokle1v3soph_0066	work.primlit	http://www.wikidata.org/entity/Q148643
Gyr.	Cyr.	0.25	sophokle1v3soph_0066	work.primlit	http://www.wikidata.org/entity/Q1145374
1.	Il.	0.6666666666666666	sophokle1v3soph_0067	work.primlit	http://www.wikidata.org/entity/Q8275
0. Β.	O. R.	0.4	sophokle1v3soph_0068	work.primlit	http://www.wikidata.org/entity/Q148643
Ale.	Alc.	0.25	sophokle1v3soph_0069	work.primlit	http://www.wikidata.org/entity/Q1246408
1].	Il.	0.6666666666666666	sophokle1v3soph_0069	work.primlit	http://www.wikidata.org/entity/Q8275
0. C.	O. C.	0.2	sophokle1v3soph_0072	work.primlit	http://www.wikidata.org/entity/Q294001
O0. €.	O. C.	0.3333333333333333	sophokle1v3soph_0073	work.primlit	http://www.wikidata.org/entity/Q294001
Alias	Aias	0.2	sophokle1v3soph_0074	pers.myth	http://www.wikidata.org/entity/Q172725
0. (.	O. C.	0.4	sophokle1v3soph_0075	work.primlit	http://www.wikidata.org/entity/Q294001
0. C.	O. C.	0.2	sophokle1v3soph_0075	work.primlit	http://www.wikidata.org/entity/Q294001
0. C.	O. C.	0.2	sophokle1v3soph_0077	work.primlit	http://www.wikidata.org/entity/Q294001
Asam:	Agam.	0.4	sophokle1v3soph_0080	work.primlit	http://www.wikidata.org/entity/Q3320792
1.	Il.	0.6666666666666666	sophokle1v3soph_0080	work.primlit	http://www.wikidata.org/entity/Q8275
Soplhokles	Sophokles	0.1	sophokle1v3soph_0080	pers.author	http://www.wikidata.org/entity/Q7235
Phil.	philoctetes	0.7272727272727273	sophokle1v3soph_0080	work.primlit	http://www.wikidata.org/entity/Q1415903
1.	Il.	0.6666666666666666	sophokle1v3soph_0082	work.primlit	http://www.wikidata.org/entity/Q8275
D.	Il.	0.6666666666666666	sophokle1v3soph_0082	work.primlit	http://www.wikidata.org/entity/Q8275
Atas	Aias	0.25	sophokle1v3soph_0083	pers.myth	http://www.wikidata.org/entity/Q172725
O. ἢ.	O. R.	0.2	sophokle1v3soph_0083	work.primlit	http://www.wikidata.org/entity/Q148643
BDindorf	Dindorf	0.125	sophokle1v3soph_0083	pers.editor	http://www.wikidata.org/entity/Q67533
0. €.	O. C.	0.4	sophokle1v3soph_0083	work.primlit	http://www.wikidata.org/entity/Q294001
Alias	Aias	0.2	sophokle1v3soph_0086	pers.myth	http://www.wikidata.org/entity/Q172725
1.	Il.	0.6666666666666666	sophokle1v3soph_0086	work.primlit	http://www.wikidata.org/entity/Q8275
0. R.	O. R.	0.2	sophokle1v3soph_0089	work.primlit	http://www.wikidata.org/entity/Q148643
Here. Fur.	Herc. Fur	0.2	sophokle1v3soph_0089	work.primlit	http://www.wikidata.org/entity/Q1233835
0. R.	O.R	0.6	sophokle1v3soph_0091	work.primlit	http://www.wikidata.org/entity/Q148643
Ὁ. €.	O. C.	0.4	sophokle1v3soph_0091	work.primlit	http://www.wikidata.org/entity/Q294001
gan.	Agam.	0.4	sophokle1v3soph_0091	work.primlit	http://www.wikidata.org/entity/Q3320792
0. C.	O. C.	0.2	sophokle1v3soph_0091	work.primlit	http://www.wikidata.org/entity/Q294001
0. C.	O. C.	0.2	sophokle1v3soph_0091	work.primlit	http://www.wikidata.org/entity/Q294001
11.	Il.	0.6666666666666666	sophokle1v3soph_0092	work.primlit	http://www.wikidata.org/entity/Q8275
0. C.	O. C.	0.2	sophokle1v3soph_0092	work.primlit	http://www.wikidata.org/entity/Q294001
0. C.	O. C.	0.2	sophokle1v3soph_0092	work.primlit	http://www.wikidata.org/entity/Q294001
O0. R.	O. R.	0.16666666666666666	sophokle1v3soph_0092	work.primlit	http://www.wikidata.org/entity/Q148643
Ὁ. R.	O. R.	0.2	sophokle1v3soph_0093	work.primlit	http://www.wikidata.org/entity/Q148643
il.	Il.	0.3333333333333333	sophokle1v3soph_0093	work.primlit	http://www.wikidata.org/entity/Q8275
Eimsley	Elmsley	0.14285714285714285	sophokle1v3soph_0093	pers.editor	http://www.wikidata.org/entity/Q7173848
Pbil.	Phil.	0.2	sophokle1v3soph_0093	work.primlit	http://www.wikidata.org/entity/Q1415903
Alhen	Athen	0.2	sophokle1v3soph_0108	loc	http://www.wikidata.org/entity/Q1524
0. C.	O. C.	0.2	sophokle1v3soph_0108	work.primlit	http://www.wikidata.org/entity/Q294001
0. R.	O. R.	0.2	sophokle1v3soph_0109	work.primlit	http://www.wikidata.org/entity/Q148643
0. R.	O. R.	0.2	sophokle1v3soph_0110	work.primlit	http://www.wikidata.org/entity/Q148643
0. R.	O. R.	0.2	sophokle1v3soph_0114	work.primlit	http://www.wikidata.org/entity/Q148643
0. R.	O. R.	0.2	sophokle1v3soph_0114	work.primlit	http://www.wikidata.org/entity/Q148643
0. R.	O. R.	0.2	sophokle1v3soph_0118	work.primlit	http://www.wikidata.org/entity/Q148643
Alhen	Athen	0.2	sophokle1v3soph_0120	loc	http://www.wikidata.org/entity/Q1524
0. R.	O. R.	0.2	sophokle1v3soph_0121	work.primlit	http://www.wikidata.org/entity/Q148643
0. C.	O. C.	0.2	sophokle1v3soph_0121	work.primlit	http://www.wikidata.org/entity/Q294001
0. R.	O. R.	0.2	sophokle1v3soph_0121	work.primlit	http://www.wikidata.org/entity/Q148643
1.	Il.	0.6666666666666666	sophokle1v3soph_0122	work.primlit	http://www.wikidata.org/entity/Q8275
0. R.	O. R.	0.2	sophokle1v3soph_0122	work.primlit	http://www.wikidata.org/entity/Q148643
Aleäus	Alcäus	0.16666666666666666	sophokle1v3soph_0122	pers.author	http://www.wikidata.org/entity/Q3608942
Menclaos	Menelaos	0.125	sophokle1v3soph_0123	pers.myth	http://www.wikidata.org/entity/Q171839
0. R.	O. R.	0.2	sophokle1v3soph_0123	work.primlit	http://www.wikidata.org/entity/Q148643
11.	Il.	0.6666666666666666	sophokle1v3soph_0123	work.primlit	http://www.wikidata.org/entity/Q8275
0. C.	O. C.	0.2	sophokle1v3soph_0123	work.primlit	http://www.wikidata.org/entity/Q294001
Ὁ. R.	O. R.	0.2	sophokle1v3soph_0123	work.primlit	http://www.wikidata.org/entity/Q148643
O. ἢ.	O. R.	0.2	sophokle1v3soph_0136	work.primlit	http://www.wikidata.org/entity/Q148643
Acrope	Aërope	0.16666666666666666	sophokle1v3soph_0136	pers.myth	http://www.wikidata.org/entity/Q508543
0. ἢ.	O. R.	0.4	sophokle1v3soph_0136	work.primlit	http://www.wikidata.org/entity/Q148643
0.C.	O. C.	0.4	sophokle1v3soph_0136	work.primlit	http://www.wikidata.org/entity/Q294001
0. R.	O. R.	0.2	sophokle1v3soph_0138	work.primlit	http://www.wikidata.org/entity/Q148643
0..6..	O. C.	0.6666666666666666	sophokle1v3soph_0138	work.primlit	http://www.wikidata.org/entity/Q294001
0. C.	O. C.	0.2	sophokle1v3soph_0138	work.primlit	http://www.wikidata.org/entity/Q294001
Ὁ. C.	O. C.	0.2	sophokle1v3soph_0143	work.primlit	http://www.wikidata.org/entity/Q294001
Hymn. Mereur.	Hymn. Mercur.	0.07692307692307693	sophokle1v3soph_0200	work.primlit	http://www.wikidata.org/entity/Q20552131
