entity_surface	gold_transcript	levenshtein_norm	document_id	entity_fine_type	wikidata_id
E.onL.	E. on L.	0.25	cu31924087948174_0082	work.seclit	
Eur,	Eur.	0.25	cu31924087948174_0082	pers.author	http://www.wikidata.org/entity/Q48305
W. Scorr	W. SCOTT	0.5	cu31924087948174_0082	pers.author	http://www.wikidata.org/entity/Q79025
ΟἹ.	Ol.	0.6666666666666666	cu31924087948174_0082	work.primlit	http://www.wikidata.org/entity/Q18146776
1.	Il.	0.6666666666666666	cu31924087948174_0083	work.primlit	http://www.wikidata.org/entity/Q8275
Phil,	Phil.	0.2	cu31924087948174_0083	work.primlit	http://www.wikidata.org/entity/Q1415903
1],	Il.	1.0	cu31924087948174_0083	work.primlit	http://www.wikidata.org/entity/Q8275
ΕἸ.	El.	0.6666666666666666	cu31924087948174_0083	work.primlit	http://www.wikidata.org/entity/Q540161
IL	Il.	0.6666666666666666	cu31924087948174_0084	work.primlit	http://www.wikidata.org/entity/Q8275
1. A.	I. A.	0.2	cu31924087948174_0084	work.primlit	http://www.wikidata.org/entity/Q1233770
ἘΒ65.	Rhes.	0.8	cu31924087948174_0084	work.primlit	http://www.wikidata.org/entity/Q667750
Ο. 6,	O. C.	0.6	cu31924087948174_0084	work.primlit	http://www.wikidata.org/entity/Q294001
5.	S.	0.5	cu31924087948174_0084	pers.author	
Dem,	Dem.	0.25	cu31924087948174_0085	pers.author	http://www.wikidata.org/entity/Q117253
Ὁ. C.	O. C.	0.2	cu31924087948174_0085	work.primlit	http://www.wikidata.org/entity/Q294001
1].	Il.	0.6666666666666666	cu31924087948174_0085	work.primlit	http://www.wikidata.org/entity/Q8275
0.C.	O. C.	0.4	cu31924087948174_0096	work.primlit	http://www.wikidata.org/entity/Q294001
Thue.	Thuc.	0.2	cu31924087948174_0096	pers.author	http://www.wikidata.org/entity/Q41683
Eur,	Eur.	0.25	cu31924087948174_0096	pers.author	http://www.wikidata.org/entity/Q48305
O. Ὁ,	O. C.	0.4	cu31924087948174_0100	work.primlit	http://www.wikidata.org/entity/Q294001
Thue.	Thuc.	0.2	cu31924087948174_0108	pers.author	http://www.wikidata.org/entity/Q41683
El,	El.	0.3333333333333333	cu31924087948174_0117	work.primlit	http://www.wikidata.org/entity/Q733444
Archil,	Archil.	0.14285714285714285	cu31924087948174_0119	pers.author	http://www.wikidata.org/entity/Q201323
Thue.	Thuc.	0.2	cu31924087948174_0128	pers.author	http://www.wikidata.org/entity/Q41683
Ο. Τ'	O. T.	0.6	cu31924087948174_0138	work.primlit	http://www.wikidata.org/entity/Q148643
IL	Il.	0.6666666666666666	cu31924087948174_0145	work.primlit	http://www.wikidata.org/entity/Q8275
EL	El.	0.6666666666666666	cu31924087948174_0145	work.primlit	http://www.wikidata.org/entity/Q733444
E.on 1,	E. on L.	0.375	cu31924087948174_0150	work.seclit	
Dindgrf	Dindorf	0.14285714285714285	cu31924087948174_0150	pers.editor	http://www.wikidata.org/entity/Q67533
//iad	Iliad	0.4	sophoclesplaysa05campgoog_0014	work.primlit	http://www.wikidata.org/entity/Q8275
Zl.	Il.	0.3333333333333333	sophoclesplaysa05campgoog_0014	work.primlit	http://www.wikidata.org/entity/Q8275
//.	Il.	0.6666666666666666	sophoclesplaysa05campgoog_0014	work.primlit	http://www.wikidata.org/entity/Q8275
Δ δίς	Rhet.	1.0	sophoclesplaysa05campgoog_0014	work.primlit	http://www.wikidata.org/entity/Q1896045
circ. όοο---595 B.C.	circ. 600—595 B.C.	0.2222222222222222	sophoclesplaysa05campgoog_0014	date	
Pinder	Pindar	0.16666666666666666	sophoclesplaysa05campgoog_0050	pers.author	http://www.wikidata.org/entity/Q134929
fb.	Ib.	0.3333333333333333	sophoclesplaysa05campgoog_0050	work.primlit	http://www.wikidata.org/entity/Q123397
Odys- neus	Odys- seus	0.125	sophoclesplaysa05campgoog_0097	pers.myth	http://www.wikidata.org/entity/Q47231
Aphrodit	Aphrodite	0.1111111111111111	sophoclesplaysa05campgoog_0097	pers.myth	http://www.wikidata.org/entity/Q35500
ll.	Il.	0.3333333333333333	sophoclesplaysa05campgoog_0097	work.primlit	http://www.wikidata.org/entity/Q8275
Very.	Verg.	0.2	sophoclesplaysa05campgoog_0098	pers.author	http://www.wikidata.org/entity/Q1398
Agos	Argos	0.2	sophoclesplaysa05campgoog_0098	loc	http://www.wikidata.org/entity/Q13533353
bel	bell	0.25	sophoclesplaysa05campgoog_0098	pers.editor	
Bax	Pax	0.3333333333333333	sophoclesplaysa05campgoog_0098	work.primlit	http://www.wikidata.org/wiki/Q1193602
bel	bell	0.25	sophoclesplaysa05campgoog_0098	pers.editor	
Ten.	Xen.	0.25	sophoclesplaysa05campgoog_0098	pers.author	http://www.wikidata.org/entity/Q129772
Phrym.	Phryn.	0.16666666666666666	sophoclesplaysa05campgoog_0099	work.primlit	
Slob.	Stob.	0.2	sophoclesplaysa05campgoog_0099	pers.author	http://www.wikidata.org/entity/Q444079
For.	Flor.	0.2	sophoclesplaysa05campgoog_0099	work.primlit	http://www.wikidata.org/entity/Q107029507
P .	Ph.	0.3333333333333333	sophoclesplaysa05campgoog_0099	work.primlit	http://www.wikidata.org/entity/Q1415903
P. P.	P.V.	0.4	sophoclesplaysa05campgoog_0099	work.primlit	http://www.wikidata.org/entity/Q846870
Anmi.	Ant.	0.4	sophoclesplaysa05campgoog_0099	work.primlit	http://www.wikidata.org/entity/Q241077
Ten.	Xen.	0.25	sophoclesplaysa05campgoog_0099	pers.author	http://www.wikidata.org/entity/Q129772
Prs.	Pers.	0.2	sophoclesplaysa05campgoog_0099	work.primlit	http://www.wikidata.org/entity/Q788458
Galea	Galen	0.2	sophoclesplaysa05campgoog_0099	pers.author	http://www.wikidata.org/entity/Q8778
Κuhn	Kühn	0.5	sophoclesplaysa05campgoog_0099	pers.editor	http://www.wikidata.org/entity/Q97582
Of.	Od.	0.3333333333333333	sophoclesplaysa05campgoog_0099	work.primlit	http://www.wikidata.org/entity/Q35160
The .	Theb.	0.2	sophoclesplaysa05campgoog_0100	work.primlit	http://www.wikidata.org/entity/Q506546
Fop.	Rep.	0.5	sophoclesplaysa05campgoog_0100	work.primlit	
Ten.	Xen.	0.25	sophoclesplaysa05campgoog_0100	pers.author	http://www.wikidata.org/entity/Q129772
Cνn.	Cyn.	0.25	sophoclesplaysa05campgoog_0100	work.primlit	http://www.wikidata.org/entity/Q3008827
Appiam	Appian	0.16666666666666666	sophoclesplaysa05campgoog_0100	pers.author	http://www.wikidata.org/entity/Q190368
BRell. Civ.	Bell. Civ.	0.09090909090909091	sophoclesplaysa05campgoog_0100	work.primlit	http://www.wikidata.org/entity/Q87768678
V. A.	N. A.	0.2	sophoclesplaysa05campgoog_0100	work.primlit	http://www.wikidata.org/entity/Q26257566
Ten.	Xen.	0.25	sophoclesplaysa05campgoog_0101	pers.author	http://www.wikidata.org/entity/Q129772
HI.	H.	0.3333333333333333	sophoclesplaysa05campgoog_0101	work.primlit	http://www.wikidata.org/entity/Q674638
O. 7a.	O.T.	0.5	sophoclesplaysa05campgoog_0101	work.primlit	https://www.wikidata.org/wiki/Q148643
Fhet.	Rhet.	0.2	sophoclesplaysa05campgoog_0101	work.primlit	http://www.wikidata.org/entity/Q1896045
Slob.	Stob.	0.2	sophoclesplaysa05campgoog_0101	pers.author	http://www.wikidata.org/entity/Q444079
O. T	O. T.	0.2	sophoclesplaysa05campgoog_0101	work.primlit	http://www.wikidata.org/entity/Q148643
Fers.	Pers.	0.2	sophoclesplaysa05campgoog_0101	work.primlit	http://www.wikidata.org/entity/Q788458
Q. T.	O. T.	0.2	sophoclesplaysa05campgoog_0102	work.primlit	http://www.wikidata.org/entity/Q148643
Menelais	Menelaüs	0.125	sophoclesplaysa05campgoog_0102	pers.myth	http://www.wikidata.org/entity/Q171839
Pans.	Paus.	0.2	sophoclesplaysa05campgoog_0102	pers.author	http://www.wikidata.org/entity/Q192931
Plmt.	Plut.	0.2	sophoclesplaysa05campgoog_0103	work.primlit	http://www.wikidata.org/entity/Q1196456
Seppl.	Suppl.	0.16666666666666666	sophoclesplaysa05campgoog_0104	work.primlit	http://www.wikidata.org/entity/Q672319
fb.	ib.	0.3333333333333333	sophoclesplaysa05campgoog_0104	work.primlit	http://www.wikidata.org/entity/Q76347075
2- :	O. T.	1.0	sophoclesplaysa05campgoog_0104	work.primlit	http://www.wikidata.org/entity/Q294001
4le.	Alc.	0.5	sophoclesplaysa05campgoog_0105	work.primlit	http://www.wikidata.org/entity/Q1246408
P. .	P. V.	0.2	sophoclesplaysa05campgoog_0105	work.primlit	http://www.wikidata.org/entity/Q846870
Blut.	Plut.	0.2	sophoclesplaysa05campgoog_0105	work.primlit	http://www.wikidata.org/entity/Q1196456
Den.	Dem.	0.25	sophoclesplaysa05campgoog_0105	pers.author	http://www.wikidata.org/entity/Q117253
ot.	or.	0.3333333333333333	sophoclesplaysa05campgoog_0105	work.primlit	
II.	Il.	0.3333333333333333	sophoclesplaysa05campgoog_0105	work.primlit	http://www.wikidata.org/entity/Q8275
Anat.	Andr.	0.4	sophoclesplaysa05campgoog_0106	work.primlit	http://www.wikidata.org/entity/Q512802
P2.	Ph.	0.3333333333333333	sophoclesplaysa05campgoog_0106	work.primlit	http://www.wikidata.org/entity/Q1415903
O. 7·	O. T.	0.4	sophoclesplaysa05campgoog_0106	work.primlit	http://www.wikidata.org/entity/Q148643
Aπt.	Ant.	0.25	sophoclesplaysa05campgoog_0107	work.primlit	http://www.wikidata.org/entity/Q241077
F. T.	I. T.	0.2	sophoclesplaysa05campgoog_0107	work.primlit	http://www.wikidata.org/entity/Q523227
O. T	O. T.	0.2	sophoclesplaysa05campgoog_0107	work.primlit	http://www.wikidata.org/entity/Q148643
O. 7T	O. T.	0.4	sophoclesplaysa05campgoog_0107	work.primlit	http://www.wikidata.org/entity/Q148643
Phleo.	Phileb.	0.2857142857142857	sophoclesplaysa05campgoog_0107	work.primlit	http://www.wikidata.org/entity/Q220972
IUem.	Dem.	0.4	sophoclesplaysa05campgoog_0108	pers.author	http://www.wikidata.org/entity/Q117253
Sop1.	Soph.	0.2	sophoclesplaysa05campgoog_0108	work.primlit	http://www.wikidata.org/entity/Q471715
Eupm.	Eum.	0.2	sophoclesplaysa05campgoog_0108	work.primlit	http://www.wikidata.org/entity/Q1233164
O. 7.	O. T.	0.2	sophoclesplaysa05campgoog_0108	work.primlit	http://www.wikidata.org/entity/Q148643
257	El.	1.0	sophoclesplaysa05campgoog_0146	work.primlit	http://www.wikidata.org/entity/Q733444
Miad	Iliad	0.4	sophoclesplaysa05campgoog_0146	work.primlit	http://www.wikidata.org/entity/Q8275
Ck.	Ch.	0.3333333333333333	sophoclesplaysa05campgoog_0146	work.primlit	http://www.wikidata.org/entity/Q11688406
Fer.	Ter.	0.25	sophoclesplaysa05campgoog_0146	pers.author	http://www.wikidata.org/entity/Q172048
Pi.	Ph.	0.3333333333333333	sophoclesplaysa05campgoog_0146	work.primlit	http://www.wikidata.org/entity/Q1415903
77.	Tr.	0.6666666666666666	sophoclesplaysa05campgoog_0146	work.primlit	http://www.wikidata.org/entity/Q945342
Pk.	Ph.	0.3333333333333333	sophoclesplaysa05campgoog_0146	work.primlit	http://www.wikidata.org/entity/Q1415903
“42.	Ant.	0.75	sophoclesplaysa05campgoog_0146	work.primlit	http://www.wikidata.org/entity/Q241077
0. 7.	O. T.	0.4	sophoclesplaysa05campgoog_0146	work.primlit	http://www.wikidata.org/entity/Q148643
ἐῤ.	ib.	0.6666666666666666	sophoclesplaysa05campgoog_0146	work.primlit	
Viz. Apoll	Vit. Apoll.	0.18181818181818182	sophoclesplaysa05campgoog_0146	work.primlit	http://www.wikidata.org/entity/Q1225196
Juliue Caesar	Julius Caesar	0.07692307692307693	sophoclesplaysa05campgoog_0147	pers.other	http://www.wikidata.org/entity/Q1048
W. H.	N. H.	0.2	sophoclesplaysa05campgoog_0147	work.primlit	http://www.wikidata.org/entity/Q442
P. .	P. V.	0.2	sophoclesplaysa05campgoog_0147	work.primlit	http://www.wikidata.org/entity/Q846870
Aci.	Ach.	0.25	sophoclesplaysa05campgoog_0147	work.primlit	http://www.wikidata.org/entity/Q1059987
Ten.	Xen.	0.25	sophoclesplaysa05campgoog_0147	pers.author	http://www.wikidata.org/entity/Q129772
ard cent. B.C	3rd cent B. C.	0.2857142857142857	sophoclesplaysa05campgoog_0168	date	
Flbr.	Flor.	0.2	sophoclesplaysa05campgoog_0168	work.primlit	http://www.wikidata.org/entity/Q107029507
Qd.	Od.	0.3333333333333333	sophoclesplaysa05campgoog_0168	work.primlit	http://www.wikidata.org/entity/Q35160
Schweighiuser	Schweighäuser	0.07692307692307693	sophoclesplaysa05campgoog_0288	pers.editor	http://www.wikidata.org/entity/Q3174599
Valckenir	Valckenär	0.1111111111111111	sophoclesplaysa05campgoog_0288	pers.editor	http://www.wikidata.org/entity/Q2155572
4122.	Ant.	0.8	sophoclesplaysa05campgoog_0288	work.primlit	http://www.wikidata.org/entity/Q241077
4g.	Ag.	0.3333333333333333	sophoclesplaysa05campgoog_0288	work.primlit	http://www.wikidata.org/entity/Q3320792
Ο.7.	O.T.	0.5	sophoclesplaysa05campgoog_0288	work.primlit	http://www.wikidata.org/entity/Q148643
O. 7	O.T.	0.5	sophoclesplaysa05campgoog_0288	work.primlit	http://www.wikidata.org/entity/Q148643
Thue.	Thuc.	0.2	sophoclesplaysa05campgoog_0288	pers.author	http://www.wikidata.org/entity/Q41683
Pi.	Ph.	0.3333333333333333	sophoclesplaysa05campgoog_0288	work.primlit	http://www.wikidata.org/entity/Q1415903
Dh.	Ph.	0.3333333333333333	sophoclesplaysa05campgoog_0291	work.primlit	http://www.wikidata.org/entity/Q1415903
Woo.	Nub.	0.75	sophoclesplaysa05campgoog_0291	work.primlit	http://www.wikidata.org/entity/Q868447
Menelais	Menelaüs	0.125	sophoclesplaysa05campgoog_0291	pers.myth	http://www.wikidata.org/entity/Q171839
